x,y,theta
0.036762993894928715,0.095269019456867846,6.1390874591307796
0.086210709236063415,0.087845992187147379,6.1285032898711211
0.13557102782862387,0.079862119121700395,6.1177289266122665
0.18484751771955285,0.071375328569452348,6.1091298271417793
0.2340635039252158,0.062543720923643589,6.1043518766420348
0.28325678684774547,0.053586417746673339,6.1042754913743824
0.33247133201818824,0.044747307952252485,6.1090965448173158
0.3817483869874867,0.036264794173452672,6.1184400296952495
0.43111908960753442,0.028346912174533612,6.131476577179817
0.48060015277611712,0.021151996980604815,6.1470705318610186
0.53019351126301129,0.014777514716035643,6.1639789918876904
0.57988949884352681,0.0092596960087931134,6.1810646533928733
0.6296717974353685,0.0045832650870429939,6.1974501093824541
0.67952209765852312,0.00069668427896842403,6.2125662394774679
0.72942324187729968,-0.0024728225166452296,6.2261062684103647
0.77936073086123625,-0.005008205824718402,6.2379371107035215
0.82932309989721487,-0.0069961983938833109,6.2480174880285348
0.87930172456125189,-0.0085243623018697087,6.2563456454714066
0.92929041276696578,-0.0096799317088332257,6.2629370882207551
0.97928494449946923,-0.010549121149494935,6.2678277268096787
1.0292826159479045,-0.011215690746403738,6.271105002166105
1.0792818118678384,-0.011757172573435122,6.2729750544286418
1.129281643672827,-0.012236741575835408,6.2738639442906408
1.1792817266646933,-0.012689335066127924,6.274521953866703
1.2292821371664855,-0.013103102857079272,6.2760703271704559
1.2792833239877457,-0.013400856438437763,6.2799331622320427
1.3292852346951596,-0.013428328572024152,6.2876493242544811
1.3792845629752284,-0.012954446234810931,6.3006286776007441
1.4292693930766673,-0.011684090950464302,6.3199454672072397
1.4792116116302552,-0.0092794564366387253,6.3462249786824856
1.5290586122795817,-0.0053850650308589314,6.3796166863493298
1.5787264653964457,0.0003467547548452383,6.4198192864429808
1.6280967219619673,0.0082317483670916371,6.4661480893462446
1.6770181268784676,0.018533865093171922,6.5176695475485706
1.72531242327797,0.031454484034543914,6.5734152001061377
1.7727808984112698,0.047134677881352109,6.6326244893303405
1.8192074800116282,0.065669192989143074,6.6949097388532985
1.8643565966876601,0.087124221992204945,6.7602432764244877
1.9079687524595803,0.11154786441018444,6.8287365477888482
1.9497611003437485,0.13896482267190169,6.9002746583511589
1.9894414046890356,0.16935466637019114,6.9741520007321043
2.0267394963347289,0.20262307631957349,7.0488924097542203
2.061450673261521,0.23858246770598382,7.1223818802234264
